38 Provinsi,,,
,Tingkat Pengangguran Terbuka Menurut Provinsi (Persen),,
,1997,,
,Februari,Agustus,Tahunan
ACEH,-,-,5.24
SUMATERA UTARA,-,-,5.19
SUMATERA BARAT,-,-,4.54
RIAU,-,-,5.91
JAMBI,-,-,4.06
SUMATERA SELATAN,-,-,4.12
BENGKULU,-,-,3.42
LAMPUNG,-,-,3.44
KEP. BANGKA BELITUNG,-,-,-
KEP. RIAU,-,-,-
DKI JAKARTA,-,-,10.94
JAWA BARAT,-,-,6.42
JAWA TENGAH,-,-,3.86
DI YOGYAKARTA,-,-,4.04
JAWA TIMUR,-,-,3.31
BANTEN,-,-,-
BALI,-,-,2.59
NUSA TENGGARA BARAT,-,-,1.71
NUSA TENGGARA TIMUR,-,-,2.41
KALIMANTAN BARAT,-,-,3.61
KALIMANTAN TENGAH,-,-,3.98
KALIMANTAN SELATAN,-,-,2.84
KALIMANTAN TIMUR,-,-,6.85
KALIMANTAN UTARA,-,-,-
SULAWESI UTARA,-,-,8.02
SULAWESI TENGAH,-,-,3.77
SULAWESI SELATAN,-,-,4.48
SULAWESI TENGGARA,-,-,2.48
GORONTALO,-,-,-
SULAWESI BARAT,-,-,-
MALUKU,-,-,5.61
MALUKU UTARA,-,-,-
PAPUA BARAT,-,-,-
PAPUA BARAT DAYA,-,-,-
PAPUA,-,-,3.35
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,-,-,4.69
