38 Provinsi,,,
,Tingkat Pengangguran Terbuka Menurut Provinsi (Persen),,
,1992,,
,Februari,Agustus,Tahunan
ACEH,-,-,1.96
SUMATERA UTARA,-,-,2.84
SUMATERA BARAT,-,-,2.95
RIAU,-,-,3.54
JAMBI,-,-,1.96
SUMATERA SELATAN,-,-,3.14
BENGKULU,-,-,1.87
LAMPUNG,-,-,1.21
KEP. BANGKA BELITUNG,-,-,-
KEP. RIAU,-,-,-
DKI JAKARTA,-,-,6.35
JAWA BARAT,-,-,3.62
JAWA TENGAH,-,-,2.19
DI YOGYAKARTA,-,-,2.41
JAWA TIMUR,-,-,2.29
BANTEN,-,-,-
BALI,-,-,1.4
NUSA TENGGARA BARAT,-,-,0.92
NUSA TENGGARA TIMUR,-,-,1.27
KALIMANTAN BARAT,-,-,1.23
KALIMANTAN TENGAH,-,-,1.31
KALIMANTAN SELATAN,-,-,2.35
KALIMANTAN TIMUR,-,-,4.6
KALIMANTAN UTARA,-,-,-
SULAWESI UTARA,-,-,4.69
SULAWESI TENGAH,-,-,2.33
SULAWESI SELATAN,-,-,3.74
SULAWESI TENGGARA,-,-,2.08
GORONTALO,-,-,-
SULAWESI BARAT,-,-,-
MALUKU,-,-,3.28
MALUKU UTARA,-,-,-
PAPUA BARAT,-,-,-
PAPUA BARAT DAYA,-,-,-
PAPUA,-,-,2.14
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,-,-,2.74
