38 Provinsi,,,
,Tingkat Pengangguran Terbuka Menurut Provinsi (Persen),,
,1987,,
,Februari,Agustus,Tahunan
ACEH,-,-,1.67
SUMATERA UTARA,-,-,1.88
SUMATERA BARAT,-,-,1.9
RIAU,-,-,3.94
JAMBI,-,-,1.37
SUMATERA SELATAN,-,-,2.4
BENGKULU,-,-,1.2
LAMPUNG,-,-,1.39
KEP. BANGKA BELITUNG,-,-,-
KEP. RIAU,-,-,-
DKI JAKARTA,-,-,9.66
JAWA BARAT,-,-,3.74
JAWA TENGAH,-,-,2.33
DI YOGYAKARTA,-,-,1.95
JAWA TIMUR,-,-,2.23
BANTEN,-,-,-
BALI,-,-,1.07
NUSA TENGGARA BARAT,-,-,0.92
NUSA TENGGARA TIMUR,-,-,0.8
KALIMANTAN BARAT,-,-,1.27
KALIMANTAN TENGAH,-,-,0.63
KALIMANTAN SELATAN,-,-,1.32
KALIMANTAN TIMUR,-,-,3.87
KALIMANTAN UTARA,-,-,-
SULAWESI UTARA,-,-,2.68
SULAWESI TENGAH,-,-,2.32
SULAWESI SELATAN,-,-,1.64
SULAWESI TENGGARA,-,-,1.08
GORONTALO,-,-,-
SULAWESI BARAT,-,-,-
MALUKU,-,-,4.09
MALUKU UTARA,-,-,-
PAPUA BARAT,-,-,-
PAPUA BARAT DAYA,-,-,-
PAPUA,-,-,1.49
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,-,-,2.62
