38 Provinsi,,,
,Tingkat Pengangguran Terbuka Menurut Provinsi (Persen),,
,1986,,
,Februari,Agustus,Tahunan
ACEH,-,-,2.4
SUMATERA UTARA,-,-,2.38
SUMATERA BARAT,-,-,2.27
RIAU,-,-,4.01
JAMBI,-,-,2.38
SUMATERA SELATAN,-,-,2.88
BENGKULU,-,-,1.12
LAMPUNG,-,-,1.28
KEP. BANGKA BELITUNG,-,-,-
KEP. RIAU,-,-,-
DKI JAKARTA,-,-,10.35
JAWA BARAT,-,-,4.05
JAWA TENGAH,-,-,2.08
DI YOGYAKARTA,-,-,2.11
JAWA TIMUR,-,-,1.85
BANTEN,-,-,-
BALI,-,-,1.2
NUSA TENGGARA BARAT,-,-,1.49
NUSA TENGGARA TIMUR,-,-,0.99
KALIMANTAN BARAT,-,-,1.52
KALIMANTAN TENGAH,-,-,1.17
KALIMANTAN SELATAN,-,-,1.99
KALIMANTAN TIMUR,-,-,4.8
KALIMANTAN UTARA,-,-,-
SULAWESI UTARA,-,-,3.09
SULAWESI TENGAH,-,-,1.49
SULAWESI SELATAN,-,-,2.37
SULAWESI TENGGARA,-,-,1.53
GORONTALO,-,-,-
SULAWESI BARAT,-,-,-
MALUKU,-,-,3.01
MALUKU UTARA,-,-,-
PAPUA BARAT,-,-,-
PAPUA BARAT DAYA,-,-,-
PAPUA,-,-,2.09
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,-,-,2.7
