38 Provinsi,,,
,Tingkat Pengangguran Terbuka Menurut Provinsi (Persen),,
,1989,,
,Februari,Agustus,Tahunan
ACEH,-,-,3.21
SUMATERA UTARA,-,-,2.43
SUMATERA BARAT,-,-,2.73
RIAU,-,-,3.88
JAMBI,-,-,2.26
SUMATERA SELATAN,-,-,3.11
BENGKULU,-,-,2.44
LAMPUNG,-,-,1.24
KEP. BANGKA BELITUNG,-,-,-
KEP. RIAU,-,-,-
DKI JAKARTA,-,-,8.47
JAWA BARAT,-,-,4.09
JAWA TENGAH,-,-,2.32
DI YOGYAKARTA,-,-,2.24
JAWA TIMUR,-,-,2.27
BANTEN,-,-,-
BALI,-,-,1.42
NUSA TENGGARA BARAT,-,-,0.75
NUSA TENGGARA TIMUR,-,-,0.88
KALIMANTAN BARAT,-,-,1.55
KALIMANTAN TENGAH,-,-,1.16
KALIMANTAN SELATAN,-,-,1.69
KALIMANTAN TIMUR,-,-,3.11
KALIMANTAN UTARA,-,-,-
SULAWESI UTARA,-,-,4.6
SULAWESI TENGAH,-,-,2.31
SULAWESI SELATAN,-,-,2.46
SULAWESI TENGGARA,-,-,1.29
GORONTALO,-,-,-
SULAWESI BARAT,-,-,-
MALUKU,-,-,2.06
MALUKU UTARA,-,-,-
PAPUA BARAT,-,-,-
PAPUA BARAT DAYA,-,-,-
PAPUA,-,-,2.46
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,-,-,2.81
