38 Provinsi,,,
,Tingkat Pengangguran Terbuka Menurut Provinsi (Persen),,
,1996,,
,Februari,Agustus,Tahunan
ACEH,-,-,6.47
SUMATERA UTARA,-,-,6.32
SUMATERA BARAT,-,-,4.72
RIAU,-,-,5.94
JAMBI,-,-,3.8
SUMATERA SELATAN,-,-,4.02
BENGKULU,-,-,3.38
LAMPUNG,-,-,4.22
KEP. BANGKA BELITUNG,-,-,-
KEP. RIAU,-,-,-
DKI JAKARTA,-,-,9.41
JAWA BARAT,-,-,6.71
JAWA TENGAH,-,-,3.69
DI YOGYAKARTA,-,-,4.07
JAWA TIMUR,-,-,3.47
BANTEN,-,-,-
BALI,-,-,2.66
NUSA TENGGARA BARAT,-,-,2.6
NUSA TENGGARA TIMUR,-,-,2.18
KALIMANTAN BARAT,-,-,3.43
KALIMANTAN TENGAH,-,-,3
KALIMANTAN SELATAN,-,-,3.33
KALIMANTAN TIMUR,-,-,7.6
KALIMANTAN UTARA,-,-,-
SULAWESI UTARA,-,-,9.24
SULAWESI TENGAH,-,-,4.84
SULAWESI SELATAN,-,-,5.33
SULAWESI TENGGARA,-,-,3.66
GORONTALO,-,-,-
SULAWESI BARAT,-,-,-
MALUKU,-,-,5.55
MALUKU UTARA,-,-,-
PAPUA BARAT,-,-,-
PAPUA BARAT DAYA,-,-,-
PAPUA,-,-,4.03
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,-,-,4.87
