38 Provinsi,,,
,Tingkat Pengangguran Terbuka Menurut Provinsi (Persen),,
,1994,,
,Februari,Agustus,Tahunan
ACEH,-,-,5.51
SUMATERA UTARA,-,-,5.05
SUMATERA BARAT,-,-,5.24
RIAU,-,-,5.3
JAMBI,-,-,2.79
SUMATERA SELATAN,-,-,3.66
BENGKULU,-,-,2.89
LAMPUNG,-,-,3.29
KEP. BANGKA BELITUNG,-,-,-
KEP. RIAU,-,-,-
DKI JAKARTA,-,-,9.1
JAWA BARAT,-,-,5.87
JAWA TENGAH,-,-,3.53
DI YOGYAKARTA,-,-,3.95
JAWA TIMUR,-,-,3.26
BANTEN,-,-,-
BALI,-,-,2.46
NUSA TENGGARA BARAT,-,-,1.5
NUSA TENGGARA TIMUR,-,-,1.5
KALIMANTAN BARAT,-,-,2.34
KALIMANTAN TENGAH,-,-,4.4
KALIMANTAN SELATAN,-,-,2.96
KALIMANTAN TIMUR,-,-,7.34
KALIMANTAN UTARA,-,-,-
SULAWESI UTARA,-,-,8.38
SULAWESI TENGAH,-,-,4.83
SULAWESI SELATAN,-,-,5.3
SULAWESI TENGGARA,-,-,3.35
GORONTALO,-,-,-
SULAWESI BARAT,-,-,-
MALUKU,-,-,4.03
MALUKU UTARA,-,-,-
PAPUA BARAT,-,-,-
PAPUA BARAT DAYA,-,-,-
PAPUA,-,-,3.09
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,-,-,4.36
