38 Provinsi,,,
,Tingkat Pengangguran Terbuka Menurut Provinsi (Persen),,
,1988,,
,Februari,Agustus,Tahunan
ACEH,-,-,2.09
SUMATERA UTARA,-,-,2.3
SUMATERA BARAT,-,-,2.32
RIAU,-,-,3.69
JAMBI,-,-,2.57
SUMATERA SELATAN,-,-,2.72
BENGKULU,-,-,1.38
LAMPUNG,-,-,1.03
KEP. BANGKA BELITUNG,-,-,-
KEP. RIAU,-,-,-
DKI JAKARTA,-,-,10.01
JAWA BARAT,-,-,4.24
JAWA TENGAH,-,-,2.47
DI YOGYAKARTA,-,-,2.48
JAWA TIMUR,-,-,2.25
BANTEN,-,-,-
BALI,-,-,1.29
NUSA TENGGARA BARAT,-,-,0.89
NUSA TENGGARA TIMUR,-,-,0.85
KALIMANTAN BARAT,-,-,1.67
KALIMANTAN TENGAH,-,-,1.53
KALIMANTAN SELATAN,-,-,1.29
KALIMANTAN TIMUR,-,-,4.53
KALIMANTAN UTARA,-,-,-
SULAWESI UTARA,-,-,3.48
SULAWESI TENGAH,-,-,1.8
SULAWESI SELATAN,-,-,2.07
SULAWESI TENGGARA,-,-,1.39
GORONTALO,-,-,-
SULAWESI BARAT,-,-,-
MALUKU,-,-,2.94
MALUKU UTARA,-,-,-
PAPUA BARAT,-,-,-
PAPUA BARAT DAYA,-,-,-
PAPUA,-,-,1.8
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,-,-,2.85
