38 Provinsi,,,
,Tingkat Pengangguran Terbuka Menurut Provinsi (Persen),,
,1993,,
,Februari,Agustus,Tahunan
ACEH,-,-,4.01
SUMATERA UTARA,-,-,3.2
SUMATERA BARAT,-,-,2.45
RIAU,-,-,3.6
JAMBI,-,-,1.8
SUMATERA SELATAN,-,-,2.58
BENGKULU,-,-,2.24
LAMPUNG,-,-,1.42
KEP. BANGKA BELITUNG,-,-,-
KEP. RIAU,-,-,-
DKI JAKARTA,-,-,5.6
JAWA BARAT,-,-,3.82
JAWA TENGAH,-,-,2.1
DI YOGYAKARTA,-,-,2.25
JAWA TIMUR,-,-,2.46
BANTEN,-,-,-
BALI,-,-,1.37
NUSA TENGGARA BARAT,-,-,0.83
NUSA TENGGARA TIMUR,-,-,1.19
KALIMANTAN BARAT,-,-,1.11
KALIMANTAN TENGAH,-,-,1.24
KALIMANTAN SELATAN,-,-,2.39
KALIMANTAN TIMUR,-,-,3.98
KALIMANTAN UTARA,-,-,-
SULAWESI UTARA,-,-,5.02
SULAWESI TENGAH,-,-,2.46
SULAWESI SELATAN,-,-,3.72
SULAWESI TENGGARA,-,-,2.23
GORONTALO,-,-,-
SULAWESI BARAT,-,-,-
MALUKU,-,-,2.99
MALUKU UTARA,-,-,-
PAPUA BARAT,-,-,-
PAPUA BARAT DAYA,-,-,-
PAPUA,-,-,2.04
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,-,-,2.79
