38 Provinsi,,,
,Tingkat Pengangguran Terbuka Menurut Provinsi (Persen),,
,1998,,
,Februari,Agustus,Tahunan
ACEH,-,-,6.21
SUMATERA UTARA,-,-,7.06
SUMATERA BARAT,-,-,5.11
RIAU,-,-,5.76
JAMBI,-,-,2.59
SUMATERA SELATAN,-,-,2.44
BENGKULU,-,-,1.97
LAMPUNG,-,-,4.28
KEP. BANGKA BELITUNG,-,-,-
KEP. RIAU,-,-,-
DKI JAKARTA,-,-,12.32
JAWA BARAT,-,-,7.69
JAWA TENGAH,-,-,5.07
DI YOGYAKARTA,-,-,3.72
JAWA TIMUR,-,-,4.1
BANTEN,-,-,-
BALI,-,-,3.09
NUSA TENGGARA BARAT,-,-,3.14
NUSA TENGGARA TIMUR,-,-,2.64
KALIMANTAN BARAT,-,-,3.65
KALIMANTAN TENGAH,-,-,4.49
KALIMANTAN SELATAN,-,-,4.16
KALIMANTAN TIMUR,-,-,8.45
KALIMANTAN UTARA,-,-,-
SULAWESI UTARA,-,-,5.48
SULAWESI TENGAH,-,-,5
SULAWESI SELATAN,-,-,5.25
SULAWESI TENGGARA,-,-,2.56
GORONTALO,-,-,-
SULAWESI BARAT,-,-,-
MALUKU,-,-,3.7
MALUKU UTARA,-,-,-
PAPUA BARAT,-,-,-
PAPUA BARAT DAYA,-,-,-
PAPUA,-,-,3.22
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,-,-,5.46
