38 Provinsi,,,
,Tingkat Pengangguran Terbuka Menurut Provinsi (Persen),,
,1991,,
,Februari,Agustus,Tahunan
ACEH,-,-,2.44
SUMATERA UTARA,-,-,2.85
SUMATERA BARAT,-,-,3.01
RIAU,-,-,3
JAMBI,-,-,2.39
SUMATERA SELATAN,-,-,2.59
BENGKULU,-,-,2.22
LAMPUNG,-,-,0.89
KEP. BANGKA BELITUNG,-,-,-
KEP. RIAU,-,-,-
DKI JAKARTA,-,-,6.35
JAWA BARAT,-,-,3.91
JAWA TENGAH,-,-,2.06
DI YOGYAKARTA,-,-,2.05
JAWA TIMUR,-,-,2.15
BANTEN,-,-,-
BALI,-,-,1.56
NUSA TENGGARA BARAT,-,-,0.56
NUSA TENGGARA TIMUR,-,-,0.82
KALIMANTAN BARAT,-,-,1
KALIMANTAN TENGAH,-,-,0.88
KALIMANTAN SELATAN,-,-,2
KALIMANTAN TIMUR,-,-,3.53
KALIMANTAN UTARA,-,-,-
SULAWESI UTARA,-,-,3.52
SULAWESI TENGAH,-,-,3.05
SULAWESI SELATAN,-,-,2.72
SULAWESI TENGGARA,-,-,1.79
GORONTALO,-,-,-
SULAWESI BARAT,-,-,-
MALUKU,-,-,3.07
MALUKU UTARA,-,-,-
PAPUA BARAT,-,-,-
PAPUA BARAT DAYA,-,-,-
PAPUA,-,-,2.26
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,-,-,2.62
